wrong	correct	# autogen I/l OCR map
particuIarIy	particularly
ButterfIies	Butterflies
beautifuIIy	beautifully
butterfIies	butterflies
stabiIizers	stabilizers
PIayground	Playground
SkinnyIegs	Skinnylegs
coIIecting	collecting
compIeteIy	completely
deIivering	delivering
especiaIIy	especially
impossibIe	impossible
pIayground	playground
ridicuIous	ridiculous
teIevision	television
themseIves	themselves
yourseIves	yourselves
ButterfIy	Butterfly
Iistening	listening
beautifuI	beautiful
briIIiant	brilliant
butterfIy	butterfly
certainIy	certainly
chocoIate	chocolate
deIicious	delicious
difficuIt	difficult
eIephants	elephants
gentIemen	gentlemen
naturaIIy	naturally
ourseIves	ourselves
teIescope	telescope
aIthough	although
actuaIIy	actually
beIonged	belonged
cIeaning	cleaning
cIimbing	climbing
chiIdren	children
compIete	complete
eIephant	elephant
horribIe	horrible
pIanning	planning
pIanting	planting
pIeasure	pleasure
probabIy	probably
properIy	properly
sIeeping	sleeping
secretIy	secretly
skinnyIe	skinny
spIendid	splendid
terribIy	terribly
watChing	watching
AIright	Alright
Ieaving	leaving
Iooking	looking
Puddles	Puddles
WriggIy	Wriggly
aIready	already
aIright	alright
bIanket	blanket
bIowing	blowing
baIIoon	balloon
beIieve	believe
bicycIe	bicycle
cIeaned	cleaned
cIearIy	clearly
cIothes	clothes
candIes	candles
carefuI	careful
coIIect	collect
coIored	colored
cycIing	cycling
exactIy	exactly
fIowers	flowers
gIasses	glasses
heIping	helping
herseIf	herself
himseIf	himself
luckiIy	luckily
musicaI	musical
pIaying	playing
probIem	problem
puddIes	puddles
quiCkIy	quickly
quickIy	quickly
quietIy	quietly
roughIy	roughly
speciaI	special
taIking	talking
troIIey	trolley
weIcome	welcome
wriggIy	wriggly
Ieaves	leaves
IittIe	little
Iittle	little
Iiving	living
IoneIy	lonely
Ionger	longer
Iooked	looked
IoudIy	loudly
IoveIy	lovely
aImost	almost
aIways	always
aduIts	adults
animaI	animal
appIes	apples
asIeep	asleep
beIong	belong
cIever	clever
cIosed	closed
caIIed	called
castIe	castle
circIe	circle
coIors	colors
eIeven	eleven
easiIy	easily
fIower	flower
fIying	flying
faIIen	fallen
famiIy	family
fiIIed	filled
foIIow	follow
gIoves	gloves
gentIe	gentle
gentIy	gently
goIden	golden
littIe	little
loveIy	lovely
meIted	melted
middIe	middle
myseIf	myself
nearIy	nearly
niceIy	nicely
pIants	plants
pIayed	played
pIease	please
pIenty	plenty
penciI	pencil
petroI	petrol
poIish	polish
puddIe	puddle
reaIIy	really
sIowIy	slowly
sIower	slower
schooI	school
shouId	should
simpIe	simple
simpIy	simply
spIash	splash
toiIet	toilet
tweIve	twelve
unIess	unless
vioIin	violin
yeIIow	yellow
CIean	Clean
ChIoe	Chloe
CheCk	check
Iater	later
Iearn	learn
Ieast	least
Ieave	leave
Iight	light
Iiked	liked
Iikes	likes
Iived	lived
Iooks	looks
Ioose	loose
Ioses	loses
Ioved	loved
Ioves	loves
Iucky	lucky
Iunch	lunch
PoIIy	Polly
UncIe	Uncle
aIike	alike
aIong	along
appIe	apple
baIIs	balls
buiId	build
cIean	clean
cIear	clear
cIimb	climb
cIock	clock
cIose	close
chIoe	chloe
coIor	color
couId	could
cycIe	cycle
doIIs	dolls
earIy	early
fIash	flash
fIies	flies
fIoor	floor
fIour	flour
faIIs	falls
feeIs	feels
girIs	girls
heIIo	hello
hoIds	holds
oIder	older
pIace	place
pIant	plant
pIays	plays
poIes	poles
quiCk	quick
reIax	relax
royaI	royal
sIeep	sleep
sIept	slept
sIice	slice
sIide	slide
seIIs	sells
shaII	shall
siIIy	silly
smaII	small
stiII	still
tabIe	table
teIIs	tells
tooIs	tools
uncIe	uncle
untiI	until
watCh	watch
wheeI	wheel
whiIe	while
whoIe	whole
worId	world
wouId	would
HoId	Hold
Iady	lady
Iast	last
Iate	late
Ieft	left
Iets	lets
Iick	lick
Iife	life
Iift	lift
Iike	like
Iion	lion
Iist	list
Iong	long
Iook	look
Iose	lose
Iost	lost
Iots	lots
Ioud	loud
Iove	love
MeoW	Meow
WIth	with
aIso	also
abIe	able
bIow	blow
bIue	blue
baII	ball
beII	bell
bowI	bowl
caII	call
coId	cold
cooI	cool
doII	doll
eIse	else
fIag	flag
fIip	flip
faII	fall
feII	fell
feeI	feel
fiII	fill
fiIm	film
fuII	full
gIad	glad
girI	girl
heIp	help
hiII	hill
hoId	hold
hoIe	hole
meaW	meow
miIk	milk
naiI	nail
onIy	only
pIay	play
pooI	pool
puII	pull
reaI	real
sIow	slow
saiI	sail
taII	tall
taIk	talk
teII	tell
toId	told
waII	wall
waIk	walk
weII	well
wiII	will
Iap	lap
Ieg	leg
Iet	let
Iie	lie
Iot	lot
aII	all
fIy	fly
oId	old
owI	owl
